,Release_Date,Title,Overview,Popularity,Original_Language,Poster_Url,id,imdb_id,original_title,belongs_to_collection,Genre,tagline,cast,keywords,crew
2,2022-02-25,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2618.087,en,https://image.tmdb.org/t/p/original/vDHsLnOWKlPGmWs0kGfuhNF4w5l.jpg,130650.0,tt0047099,Huis clos,[],Thriller,,"['Arletty', 'Louis de Funès', 'Gaby Sylvia', 'Franck Villard', 'Yves Deniaud']",['woman director'],['Jacqueline Audry']
6,2022-01-12,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",1675.161,en,https://image.tmdb.org/t/p/original/kZNHR1upJKF3eTzdgl5V8s8a4C3.jpg,4232.0,tt0117571,Scream,[],"Horror, Mystery, Thriller",Someone has taken their love of scary movies one step too far.,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Matthew Lillard', 'Rose McGowan']","['halloween', 'gore', 'serial killer', 'slasher', 'tabloid', 'news reporter', 'self-referential', 'meta film']",['Wes Craven']
12,2022-02-25,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",1468.377,fr,https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,20160.0,tt0231971,Levottomat,[],"Action, Thriller, Crime",,"['Mikko Nousiainen', 'Laura Malmivaara', 'Petteri Summanen', 'Matleena Kuusniemi', 'Valtteri Roiha']",[],['Aku Louhimies']
15,2021-12-02,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,1455.144,en,https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg,19169.0,tt0039661,Nightmare Alley,[],"Crime, Drama, Thriller",He was all things to all men ... but only one thing to all women!,"['Tyrone Power', 'Joan Blondell', 'Coleen Gray', 'Helen Walker', 'Taylor Holmes']","['con man', 'carnival', 'con artist', 'classic noir', 'film noir']",['Edmund Goulding']
34,2022-02-09,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",761.793,en,https://image.tmdb.org/t/p/original/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,326253.0,tt2788228,Trouw met mij,[],"Romance, Comedy, Music",,"['Dries de Sutter', 'Sirin Zahed', 'Burak Balci', 'Rudi Delhem', 'Anouk David']",[],['Kadir Balci']
36,2021-12-08,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",678.186,en,https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg,1725.0,tt0055614,West Side Story,[],"Drama, Romance, Crime",The screen achieves one of the great entertainments in the history of motion pictures,"['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'George Chakiris']","['slum', 'street gang', 'love at first sight', 'showdown', 'puerto rican', 'immigrant', 'highway', 'forbidden love', 'musical', 'rivalry', 'feud', 'interracial relationship', 'based on play or musical', 'sondheim', 'attempted rape', 'policeman', 'obsessive love', 'lifting female in air', 'young love', 'modern day adaptation', 'shakespeare in modern dress']",['Jerome Robbins']
48,2022-01-14,The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",551.65,en,https://image.tmdb.org/t/p/original/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg,134569.0,tt2408288,Jib,[],"Animation, Drama, Comedy, Horror",,"['Kim Kkobbi', 'Ha Jae-Sook', 'Choi Jeong-ho', 'Kim Hee-jin-I']","['cat', 'ghetto', 'seoul', 'spirit']",['Joo-Young Ban']
59,2021-04-07,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",402.273,en,https://image.tmdb.org/t/p/original/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg,9312.0,tt0113855,Mortal Kombat,[],"Action, Fantasy, Adventure",Nothing In This World Has Prepared You For This.,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']",['Paul W.S. Anderson']
63,2021-09-15,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",394.295,en,https://image.tmdb.org/t/p/original/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,841.0,tt0087182,Dune,[],"Science Fiction, Adventure","A world beyond your experience, beyond your imagination.","['Kyle MacLachlan', 'Francesca Annis', 'Leonardo Cimino', 'Brad Dourif', 'José Ferrer']","['prophecy', 'witch', 'monster', 'telepathy', 'atomic bomb', 'space marine', 'emperor', 'mutation', 'insurgence', 'space travel', 'guild', 'duke', 'water', 'chosen one', 'dystopia', 'jihad', 'spice', 'war', 'messiah', 'denunciation']",['David Lynch']
66,2021-06-11,Queen of Spades,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",387.159,en,https://image.tmdb.org/t/p/original/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg,423367.0,tt2231457,Дама Пик,[],Horror,,"['Kseniya Rappoport', 'Ivan Yankovskiy', 'Igor Mirkurbanov', 'Mariya Kurdenevich', 'Evgeniy Zelenskiy']",[],['Pavel Lungin']
68,2021-11-05,Dangerous,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",379.856,en,https://image.tmdb.org/t/p/original/vTtkQGC7qKlSRQJZYtAWAmYdH0A.jpg,52863.0,tt0026261,Dangerous,[],"Action, Thriller",An alcoholic actress considered a dangerous jinx is rehabilitated but shows she's as dangerous as ever.,"['Bette Davis', 'Franchot Tone', 'Margaret Lindsay', 'Alison Skipworth', 'John Eldredge']","['jinx', 'divorce']",['Alfred E. Green']
76,1989-06-23,Batman,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",338.272,en,https://image.tmdb.org/t/p/original/jUhGHv4YihieVjhU2TmFaBsZ4Xg.jpg,268.0,tt0096895,Batman,[],"Fantasy, Action",Have you ever danced with the devil in the pale moonlight?,"['Jack Nicholson', 'Michael Keaton', 'Kim Basinger', 'Michael Gough', 'Pat Hingle']","['double life', 'dc comics', 'dual identity', 'chemical', 'crime fighter', 'fictional place', 'gotham city', 'superhero', 'super powers']",['Tim Burton']
78,2021-07-07,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",337.651,en,https://image.tmdb.org/t/p/original/qAZ0pzat24kLdO3o8ejmbLxyOac.jpg,19345.0,tt0090738,Black Widow,[],"Action, Adventure, Science Fiction",She mates and she kills.,"['Debra Winger', 'Theresa Russell', 'Sami Frey', 'Dennis Hopper', 'Nicol Williamson']",[],['Bob Rafelson']
85,2021-12-03,Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,324.706,en,https://image.tmdb.org/t/p/original/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg,33217.0,tt1196141,Diary of a Wimpy Kid,[],"Animation, Comedy, Family","It's not a diary, it's a movie.","['Zachary Gordon', 'Robert Capron', 'Rachael Harris', 'Steve Zahn', 'Devon Bostick']","['based on novel', 'coming of age', 'young boy', 'breaking the fourth wall', 'middle school', 'popularity', 'duringcreditsstinger', 'live action and animation', 'friendship drama', 'line drawing']",['Thor Freudenthal']
97,2012-06-23,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",306.376,en,https://image.tmdb.org/t/p/original/fSbqPbqXa7ePo8bcnZYN9AHv6zA.jpg,1930.0,tt0948470,The Amazing Spider-Man,[],"Action, Adventure, Fantasy",The untold story begins.,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']",['Marc Webb']
99,2009-12-10,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",297.357,en,https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,19995.0,tt0499549,Avatar,[],"Action, Adventure, Fantasy, Science Fiction",Enter the World of Pandora.,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']",['James Cameron']
110,2021-09-09,Infinite,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",276.461,en,https://image.tmdb.org/t/p/original/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg,201274.0,tt2456338,Infinite,[],"Science Fiction, Action, Thriller","Trillions of miles away, the impossible is inevitable.",[],[],[]
112,2021-12-17,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",273.35,en,https://image.tmdb.org/t/p/original/vQxtoPJVfpHgL7DCg9hQFZKDWJa.jpg,12088.0,tt0106950,Fortress,[],"Crime, Action, Thriller",The high-tech prison thirty stories below ground. Built to withstand anything... Execpt an innocent man.,"['Christopher Lambert', 'Kurtwood Smith', 'Loryn Locklin', 'Clifton Collins Jr', 'Jeffrey Combs']","['prison', 'cyborg', 'married couple', 'future', 'dystopia', 'escape', 'population control']",['Stuart Gordon']
118,2005-06-10,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",265.806,en,https://image.tmdb.org/t/p/original/8RW2runSEc34IwKN2D1aPcJd2UL.jpg,272.0,tt0372784,Batman Begins,[],"Action, Crime, Drama",Evil fears the knight.,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']","['himalaya', 'martial arts', 'dc comics', 'crime fighter', 'secret identity', 'undercover', 'hero', 'loss of father', 'society', 'gotham city', 'vigilante', 'superhero', 'based on comic', 'rivalry', 'tragic hero', 'ninja', 'good vs evil', 'crime', 'super powers', 'haunted by the past', 'evil doctor', 'escapade', 'master villain', 'fighting crime', 'unfulfillment', 'love and romance', 'unfulfilled love']",['Christopher Nolan']
141,2014-04-16,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",231.441,en,https://image.tmdb.org/t/p/original/c3e9e18SSlvFd1cQaGmUj5tqL5P.jpg,102382.0,tt1872181,The Amazing Spider-Man 2,[],"Action, Adventure, Fantasy",No more secrets.,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Campbell Scott']","['obsession', 'marvel comic', 'sequel', 'based on comic', 'electrocution', 'medical experiment', 'electricity', 'super powers']",['Marc Webb']
142,2021-12-02,The Whole Truth,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family.",231.334,th,https://image.tmdb.org/t/p/original/bPq6x47nEqMZED5PrKelcWWpezM.jpg,331583.0,tt3503406,The Whole Truth,[],Horror,Do you solemnly swear..,"['Keanu Reeves', 'Renée Zellweger', 'Gugu Mbatha-Raw', 'Gabriel Basso', 'Jim Belushi']","['murder', 'lawyer', 'woman director', 'patricide']",['Courtney Hunt']
144,2016-10-07,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",230.758,en,https://image.tmdb.org/t/p/original/fTuxNlgEm04PPFkr1xfK94Jn8BW.jpg,324786.0,tt2119532,Hacksaw Ridge,[],"Drama, History, War",One of the greatest heroes in American history never fired a bullet.,"['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn', 'Luke Bracey', 'Teresa Palmer']","['japan', 'world war ii', 'violent father', 'pacifism', 'bible', 'biography', 'war', 'conscientious objector', 'based on true story', 'gore', 'religion', 'soldier', 'religious', 'alcoholic', 'war hero', 'medic', 'u.s. military', 'based on true events', 'historical drama', '1940s']",['Mel Gibson']
146,2001-11-16,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",230.0,en,https://image.tmdb.org/t/p/original/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,671.0,tt0241527,Harry Potter and the Philosopher's Stone,[],"Adventure, Fantasy",Let the Magic Begin.,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton']","['witch', 'christmas party', 'magic', 'cutting the cord', 'halloween', 'child hero', 'broom', 'chosen one', 'frog', 'fantasy world', 'based on young adult novel']",['Chris Columbus']
147,2012-04-25,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",229.772,en,https://image.tmdb.org/t/p/original/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,9320.0,tt0118661,The Avengers,[],"Science Fiction, Action, Adventure",Saving the World in Style.,"['Ralph Fiennes', 'Uma Thurman', 'Sean Connery', 'Patrick Macnee', 'Jim Broadbent']","['london england', 'weather manipulation', 'wretch']",['Jeremiah S. Chechik']
151,2016-10-25,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",228.266,en,https://image.tmdb.org/t/p/original/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,14830.0,tt0910865,Doctor Strange,[],"Action, Adventure, Fantasy, Science Fiction",,"['Bryce Johnson', 'Paul Nakauchi', 'Kevin Michael Richardson', 'Michael Yama', 'Susan Spano']","['tibet', 'marvel comic', 'based on comic', 'animation', 'mysticism']",['Patrick Archibald']
159,2015-04-18,Dragon Ball Z: Resurrection 'F',"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans.",220.049,ja,https://image.tmdb.org/t/p/original/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg,303857.0,tt3819668,ドラゴンボールZ 復活の「F」,[],"Action, Animation, Science Fiction",,"['Masako Nozawa', 'Ryou Horikawa', 'Hiromi Tsuru', 'Mayumi Tanaka', 'Masaharu Satō']",['anime'],['Tadayoshi Yamamuro']
161,2009-03-19,Knowing,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,218.406,en,https://image.tmdb.org/t/p/original/nO9gTGDNdYnPr9ILKNQmk6EVTVR.jpg,13811.0,tt0448011,Knowing,[],"Action, Mystery, Science Fiction, Thriller",Knowing is everything...,"['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury', 'Ben Mendelsohn', 'Nadia Townsend']","['cataclysm', 'code', 'suspense', 'end of the world', 'time capsule', 'astrophysicist', 'grieving widower', 'lexington massachusetts', 'westford massachusetts', 'prediction', 'researcher', 'numbers', 'news']",['Alex Proyas']
162,2021-10-01,Witch Hunt,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.",217.266,en,https://image.tmdb.org/t/p/original/vHKlIci8f38GaAd361EW0VSx91k.jpg,43734.0,tt1196112,Witch Hunt,[],"Fantasy, Horror, Thriller, Drama",Some convictions are criminal,['Sean Penn'],['woman director'],['Don Hardy Jr.']
164,2014-09-10,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",215.466,en,https://image.tmdb.org/t/p/original/ode14q7WtDugFDp78fo9lCsmay9.jpg,198663.0,tt1790864,The Maze Runner,[],"Action, Mystery, Science Fiction, Thriller",Run - Remember - Survive,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario', 'Aml Ameen', 'Blake Cooper']","['based on novel', 'maze', 'post-apocalyptic', 'dystopia', 'escape', 'memory loss', 'erased memory', 'trapped', 'dystopic future', 'runner', 'based on young adult novel']",['Wes Ball']
165,2021-03-31,The Unholy,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",214.999,en,https://image.tmdb.org/t/p/original/cFOWiYDQ8Nttmt0K6PU38L48wWK.jpg,86680.0,tt0096340,The Unholy,[],Horror,Seduction. Submission. Murder. Tonight . . . evil goes over the edge.,"['Ben Cross', 'Ned Beatty', 'William Russ', 'Jill Carroll', 'Hal Holbrook']","['priest', 'demon']",['Camilo Vila']
170,2015-08-07,Boruto: Naruto the Movie,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!",211.071,ja,https://image.tmdb.org/t/p/original/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg,347201.0,tt4618398,BORUTO -NARUTO THE MOVIE-,[],"Animation, Action, Comedy",,"['Yuuko Sanpei', 'Kokoro Kikuchi', 'Junko Takeuchi', 'Noriaki Sugiyama', 'Daisuke Namikawa']","['anime', 'naruto']",['Hiroyuki Yamashita']
172,2002-11-13,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",210.837,en,https://image.tmdb.org/t/p/original/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,672.0,tt0295297,Harry Potter and the Chamber of Secrets,[],"Adventure, Fantasy",Hogwarts is back in session.,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Alan Rickman']","['flying car', 'witch', 'magic', 'cutting the cord', 'child hero', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'giant snake', 'black magic', 'aftercreditsstinger']",['Chris Columbus']
174,2017-10-27,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",210.527,en,https://image.tmdb.org/t/p/original/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,18955.0,tt1262877,Coco,[],"Family, Animation, Fantasy, Music, Comedy, Adventure",,"['Gad Elmaleh', 'Pascale Arbillot', 'Manu Payet', 'Jean Benguigui', 'Ary Abittan']",[],['Gad Elmaleh']
175,2017-06-21,Ava,"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",210.438,fr,https://image.tmdb.org/t/p/original/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg,453354.0,tt6194530,Ava,[],Drama,,"['Noée Abita', 'Laure Calamy', 'Juan Cano', 'Tamara Cano']","['beach', 'mother daughter relationship', 'teenage girl', 'summer', 'summer vacation', 'dog', 'blindness', 'woman director']",['Léa Mysius']
176,2014-10-15,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",210.26,en,https://image.tmdb.org/t/p/original/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,14615.0,tt0027652,Fury,[],"War, Drama, Action",TWO LOVERS...VICTIMS OF MOB VIOLENCE!,"['Sylvia Sidney', 'Spencer Tracy', 'Walter Abel', 'Bruce Cabot', 'Edward Ellis']","['small town', 'kidnapping', 'love', 'revenge', 'murder', 'jail', 'money', 'mobster', 'presumed dead', 'lynch mob', 'film noir']",['Fritz Lang']
180,2020-12-03,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",208.742,en,https://image.tmdb.org/t/p/original/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,5421.0,tt0084028,Rosso sangue,[],"Action, Fantasy, Adventure",Pray you survive the hunt.,"['George Eastman', 'Annie Belle', 'Edmund Purdom', 'Charles Borromel', 'Katya Berger']","['female nudity', 'father son relationship', 'monster', 'ax', 'sadism', 'murder', 'priest', 'independent film', 'gore', 'serial killer', 'decapitation', 'blood', 'cannibal', 'death', 'axe murder', 'self mutilation', 'psycho killer', 'disfigurement', 'psycho', 'video nasty']","[""Joe D'Amato""]"
181,2014-12-06,The Last: Naruto the Movie,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",208.37,ja,https://image.tmdb.org/t/p/original/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,317442.0,tt3717532,The Last: Naruto the Movie,[],"Action, Romance, Animation",,"['Junko Takeuchi', 'Nana Mizuki', 'Jun Fukuyama', 'Chie Nakamura', 'Shoutarou Morikubo']","['naruto shippuuden', 'anime', 'naruto']",['Tsuneo Kobayashi']
185,2002-05-01,Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",206.376,en,https://image.tmdb.org/t/p/original/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,557.0,tt0145487,Spider-Man,[],"Fantasy, Action",With great power comes great responsibility.,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson']","['loss of lover', 'spider', 'thanksgiving', 'bad boss', 'hostility', 'marvel comic', 'superhero', 'pokies', 'evil', 'reference to superman', 'goblin']",['Sam Raimi']
188,2011-09-28,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",203.843,en,https://image.tmdb.org/t/p/original/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,39254.0,tt0433035,Real Steel,[],"Action, Science Fiction, Drama","If you get one shot, make it real.","['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly', 'Anthony Mackie', 'Kevin Durand']","['father son relationship', 'fight', 'sport', 'robot', 'prizefighting', 'father son reunion', 'robot fighting']",['Shawn Levy']
190,2019-04-11,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",203.008,en,https://image.tmdb.org/t/p/original/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,39172.0,tt1249363,After,[],"Romance, Drama",,"['Tristán Ulloa', 'Guillermo Toledo', 'Blanca Romero', 'Jesús Carroza', 'Maxi Iglesias']",[],['Alberto Rodríguez']
194,2022-02-17,Dog,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,200.253,en,https://image.tmdb.org/t/p/original/pb8rHkAyojBYtMe5fnSvFMCPc3D.jpg,231218.0,tt0340078,Dog,[],"Drama, Comedy",,"['Joanne Hill', 'Freddie Cunliffe']","['coming of age', 'woman director']",['Andrea Arnold']
196,2007-12-12,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",199.248,en,https://image.tmdb.org/t/p/original/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,6479.0,tt0480249,I Am Legend,[],"Drama, Science Fiction, Thriller",The last man on Earth is not alone,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield', 'Willow Smith']","['saving the world', 'lost civilisation', 'post-apocalyptic', 'dystopia', 'matter of life and death', 'alone', 'helplessness', 'virus', 'pandemic']",['Francis Lawrence']
