,Release_Date,Title,Overview,Popularity,Original_Language,Poster_Url,id,imdb_id,original_title,belongs_to_collection,Genre,tagline,cast,keywords,crew
1049,2012-01-26,The Grey,"Following a grueling five-week shift at an Alaskan oil refinery, workers led by sharpshooter John Ottway, are flying home for a much-needed vacation. But a brutal storm causes their plane to crash in the frozen wilderness, and only eight men, including Ottway, survive. As they trek southward toward civilization and safety, Ottway and his companions must battle mortal injuries, the icy elements, and a pack of hungry wolves.",71.086,en,https://image.tmdb.org/t/p/original/a0Vt3wx8ciKmPt4iXPx9sH4HBVU.jpg,75174.0,tt1601913,The Grey,[],"Drama, Thriller, Action, Adventure",Live or Die on This Day,"['Liam Neeson', 'Dermot Mulroney', 'Frank Grillo', 'Dallas Roberts', 'Joe Anderson']","['alcohol', 'isolation', 'wolf', 'wilderness', 'forest', 'stranded', 'alaska', 'survival', 'airplane crash', 'fear', 'howling', 'death', 'animal killing', 'freezing', 'animal attack', 'campfire', 'male camaraderie', 'gun in mouth', 'aftercreditsstinger', 'bar fight', 'eaten alive', 'eaten by animal']",['Joe Carnahan']
1050,2012-06-06,Madagascar 3: Europe's Most Wanted,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",70.945,en,https://image.tmdb.org/t/p/original/ekraj4ksvIKeuvQVEevEJkuybZd.jpg,80321.0,tt1277953,Madagascar 3: Europe's Most Wanted,[],"Animation, Family, Comedy, Adventure","Six years ago, they disappeared without a trace. Next summer, they finally resurface.","['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer', 'Frances McDormand', 'Chris Rock']","['madagascar', '3d']",['Conrad Vernon']
1052,1999-04-16,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,70.717,en,https://image.tmdb.org/t/p/original/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,564.0,tt0120616,The Mummy,[],"Adventure, Action, Fantasy",The legend you know. The adventure you have yet to imagine.,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', ""Kevin J. O'Connor""]","['library', 'secret passage', 'cairo', 'egypt', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'ancient egypt', 'opposites attract', '1920s']",['Stephen Sommers']
1057,2008-06-12,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",70.491,en,https://image.tmdb.org/t/p/original/odVVJrCOveHXCBc5Pf2k4XmOhIz.jpg,1724.0,tt0800080,The Incredible Hulk,[],"Science Fiction, Action, Adventure",You'll like him when he's angry.,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson']","['new york', 'rio de janeiro', 'marvel comic', 'superhero', 'based on comic', 'on the run', 'fugitive', 'super soldier', 'tony stark', 'virginia', 'military', 'hulk', 'marvel cinematic universe', 'angry', 'bruce banner']",['Louis Leterrier']
1058,2014-07-25,Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",70.476,en,https://image.tmdb.org/t/p/original/kRbpUTRNm6QbLQFPFWUcNC4czEm.jpg,143247.0,tt0361856,Lucy,[],"Action, Science Fiction",,"['Rachel York', 'Danny Pino', 'Ann Dowd', 'Madeline Zima', 'LaChanze']",[],['Glenn A. Jordan']
1062,2017-07-11,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",70.327,en,https://image.tmdb.org/t/p/original/ijQHiImv16vNSeZQsmih04kwn0C.jpg,281338.0,tt3450958,War for the Planet of the Apes,[],"Drama, Science Fiction, War",For freedom. For family. For the planet.,"['Andy Serkis', 'Woody Harrelson', 'Steve Zahn', 'Karin Konoval', 'Terry Notary']","['based on novel', 'sequel', 'talking animal', 'ape']",['Matt Reeves']
1065,2012-10-23,Wrong Turn 5: Bloodlines,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",70.14,en,https://image.tmdb.org/t/p/original/i9prGtsGbWzaH30bp8TXPEs6QGm.jpg,125509.0,tt2375779,Wrong Turn 5: Bloodlines,[],"Horror, Thriller",The inbred hillbillies are back!,"['Camilla Arfwedson', 'Doug Bradley', 'Simon Ginty', 'Oliver Hoare', 'Roxanne McKee']",[],"[""Declan O'Brien""]"
1066,2010-06-15,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",70.096,en,https://image.tmdb.org/t/p/original/a7JmOBMNj5erYTgt4u1mQgvHItu.jpg,37834.0,tt1013743,Knight and Day,[],"Action, Comedy",Every Hit Man Deserves a Second Shot!,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà']","['spy', 'airport', 'gas station', 'garage', 'pilot', 'chase', 'secret agent', 'rope', 'exploding building', 'car chase', 'police car', 'boy genius', 'duringcreditsstinger']",['James Mangold']
1068,2003-11-05,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,70.076,en,https://image.tmdb.org/t/p/original/fgm8OZ7o4G1G1I9EeGcb85Noe6L.jpg,605.0,tt0242653,The Matrix Revolutions,[],"Adventure, Action, Thriller, Science Fiction",Everything that has a beginning has an end.,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Mary Alice']","['saving the world', 'artificial intelligence', 'man vs machine', 'flying', 'philosophy', 'fortune teller', 'kung fu', 'underground world', 'killer robot', 'temple', 'subway', 'dream', 'sun', 'hero', 'fight', 'sunlight', 'computer virus', 'key', 'future', 'precognition', 'super computer', 'machine town', 'ying yang', 'dying and death', 'virtual reality', 'dystopia', 'computer', 'faith', 'world religion', 'truth', 'rescue', 'mission', 'cyberpunk', 'woman director', 'yin yang', 'gnosticism']",['Lilly Wachowski']
1069,2009-10-27,Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",70.026,en,https://image.tmdb.org/t/p/original/qDlmKahejt0NoQzw65tnLayEhHZ.jpg,23988.0,tt1185266,Stan Helsing,[],"Comedy, Horror",The most feared monsters in cinematic history have met their match...,"['Diora Baird', 'Leslie Nielsen', 'Steve Howey', 'Kenan Thompson', 'Tara Wilson']","['halloween', 'slapstick', 'duringcreditsstinger']",['Bo Zenga']
